pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
Knuckle Curve,6.4,-3.02,54.14,5.94,82.9,2437.0,40.0,-0.5,1.69,0.3,-0.95,0,0,0,0,0,0,L,3.23,1.59,1
4-Seam Fastball,6.7,-2.71,53.78,5.85,94.3,2379.0,204.0,0.29,2.56,-0.18,1.4,0,2,0,0,1,2,R,3.26,1.54,1
4-Seam Fastball,6.6,-2.61,53.91,6.02,93.8,1945.0,203.0,-0.12,4.33,-0.04,1.16,0,2,0,0,1,2,R,3.26,1.54,1
Knuckle Curve,6.5,-2.86,54.04,5.92,83.1,2538.0,38.0,0.75,2.28,0.41,-0.95,0,1,0,0,1,2,R,3.13,1.41,0
4-Seam Fastball,6.5,-2.63,54.0,6.08,93.1,2371.0,199.0,0.69,3.37,-0.04,1.33,0,0,0,0,1,2,R,3.25,1.62,0
Slider,6.4,-2.88,54.06,5.85,87.1,2401.0,113.0,0.64,2.15,0.45,-0.14,1,2,0,0,1,1,R,3.38,1.54,1
4-Seam Fastball,6.5,-2.93,54.04,5.99,93.7,2293.0,205.0,-0.3,3.41,-0.34,1.1,1,1,0,0,1,1,R,3.38,1.54,1
4-Seam Fastball,6.4,-2.87,54.12,6.05,92.8,2136.0,200.0,-0.26,4.78,-0.1,1.12,0,1,0,0,1,1,R,3.38,1.54,0
4-Seam Fastball,6.3,-2.81,54.17,6.03,93.0,2105.0,195.0,-0.35,3.55,-0.11,1.09,0,0,0,0,1,1,R,3.38,1.54,1
4-Seam Fastball,6.5,-2.68,54.0,5.95,93.6,2265.0,207.0,-0.06,3.54,-0.24,1.11,3,2,0,0,0,1,R,3.08,1.48,0
Slider,6.5,-2.81,53.99,5.81,86.8,2553.0,81.0,0.53,1.23,0.48,-0.59,2,2,0,0,0,1,R,3.21,1.58,0
4-Seam Fastball,6.6,-2.68,53.89,6.0,93.1,2285.0,203.0,0.38,2.05,-0.05,1.09,2,1,0,0,0,1,R,3.28,1.58,1
4-Seam Fastball,6.6,-2.6,53.89,5.95,94.1,2246.0,204.0,1.27,1.97,-0.12,1.31,1,1,0,0,0,1,R,3.21,1.51,0
Slider,6.3,-2.82,54.19,5.9,86.1,2595.0,81.0,0.85,1.83,0.41,-0.23,0,1,0,0,0,1,R,3.18,1.54,0
4-Seam Fastball,6.6,-2.66,53.87,5.97,94.3,2193.0,207.0,0.81,2.11,-0.14,1.29,0,0,0,0,0,1,R,3.21,1.54,0
Knuckle Curve,6.6,-2.87,53.9,5.82,83.5,2529.0,34.0,1.39,0.67,0.29,-0.7,1,2,0,0,0,0,L,3.28,1.55,1
Knuckle Curve,6.4,-3.03,54.07,5.93,82.9,2381.0,36.0,0.81,1.71,0.09,-0.62,1,1,0,0,0,0,L,3.28,1.55,1
Changeup,6.6,-2.98,53.89,5.75,88.6,1605.0,227.0,0.34,0.87,-0.98,0.18,0,1,0,0,0,0,L,3.38,1.58,0
4-Seam Fastball,6.7,-2.83,53.84,5.97,93.1,2228.0,207.0,0.1,2.15,-0.13,1.19,0,0,0,0,0,0,L,3.38,1.61,0
4-Seam Fastball,6.5,-2.83,54.04,6.03,92.2,2283.0,205.0,0.43,2.25,-0.22,1.28,0,0,0,0,0,0,L,3.38,1.62,1
4-Seam Fastball,6.4,-2.88,54.11,5.95,93.8,2143.0,210.0,-0.59,2.63,-0.32,1.16,0,1,0,0,1,2,R,3.24,1.54,1
4-Seam Fastball,6.5,-2.84,54.01,6.06,94.3,2211.0,203.0,0.1,2.63,-0.34,1.31,0,0,0,0,1,2,R,3.24,1.54,1
4-Seam Fastball,6.5,-2.91,53.95,5.91,93.8,2333.0,207.0,0.28,1.18,-0.08,1.28,3,1,0,0,0,2,L,3.2,1.52,0
Changeup,6.7,-2.98,53.84,5.73,88.9,1493.0,229.0,1.0,1.47,-0.85,0.41,2,1,0,0,0,2,L,3.23,1.52,0
Changeup,6.6,-3.13,53.91,5.8,88.4,1578.0,232.0,-0.49,1.7,-1.01,-0.04,1,1,0,0,0,2,L,3.36,1.69,0
Knuckle Curve,6.3,-3.0,54.16,5.9,84.3,2480.0,40.0,0.51,1.77,0.19,-0.77,0,1,0,0,0,2,L,3.39,1.66,0
4-Seam Fastball,6.5,-2.85,54.04,5.93,94.0,2290.0,208.0,-0.05,2.79,-0.13,1.29,0,0,0,0,0,2,L,3.33,1.65,0
4-Seam Fastball,6.5,-2.73,54.03,5.97,93.8,2327.0,203.0,0.91,2.6,-0.03,1.33,0,0,0,0,0,1,R,3.4,1.61,1
Knuckle Curve,6.3,-2.94,54.18,5.93,84.5,2522.0,37.0,-0.09,1.44,0.24,-0.8,0,1,0,0,0,0,L,3.23,1.59,1
4-Seam Fastball,6.4,-2.91,54.06,5.93,94.4,2321.0,207.0,-0.75,2.39,-0.41,1.35,0,0,0,0,0,0,L,3.26,1.52,0
4-Seam Fastball,6.9,-2.58,53.59,6.04,94.4,2259.0,197.0,0.97,2.38,-0.03,1.19,2,1,0,0,0,2,L,3.36,1.66,1
Knuckle Curve,6.9,-2.84,53.6,5.9,82.7,2502.0,34.0,0.63,1.03,0.47,-0.79,2,0,0,0,0,2,L,3.36,1.66,1
Changeup,6.8,-2.88,53.65,5.81,87.6,1467.0,236.0,-0.23,1.15,-0.72,0.41,1,0,0,0,0,2,L,3.36,1.73,0
Knuckle Curve,6.9,-2.81,53.65,5.92,83.4,2483.0,40.0,-0.82,1.23,0.43,-0.88,0,0,0,0,0,2,L,3.36,1.71,0
4-Seam Fastball,6.6,-2.53,53.93,6.11,94.2,2243.0,202.0,0.62,2.92,0.04,1.04,1,0,0,0,0,1,R,3.54,1.76,1
Knuckle Curve,6.9,-2.53,53.57,5.89,85.6,2462.0,26.0,1.45,1.56,0.17,-0.64,0,0,0,0,0,1,R,3.54,1.76,0
4-Seam Fastball,6.7,-2.64,53.77,6.07,93.7,2134.0,201.0,-0.5,2.88,-0.13,1.32,0,1,0,0,0,0,R,3.43,1.58,1
4-Seam Fastball,6.8,-2.61,53.66,6.04,94.3,2218.0,198.0,0.19,2.48,-0.22,1.23,0,0,0,0,0,0,R,3.43,1.58,1
4-Seam Fastball,6.8,-2.64,53.7,6.1,94.5,2285.0,155.0,0.0,1.99,-0.11,1.21,3,0,1,0,0,0,L,3.4,1.69,1
4-Seam Fastball,6.9,-2.53,53.58,5.97,95.2,2145.0,206.0,1.29,1.31,-0.13,1.21,2,0,1,0,0,0,L,3.54,1.64,0
Changeup,7.0,-2.78,53.49,5.78,88.4,1546.0,224.0,0.55,1.12,-1.01,-0.13,1,0,1,0,0,0,L,3.52,1.6,0
4-Seam Fastball,6.6,-2.57,53.89,6.13,94.9,2127.0,197.0,0.44,3.85,-0.04,1.08,0,0,1,0,0,0,L,3.54,1.71,0
4-Seam Fastball,7.1,-2.63,53.4,6.08,95.2,2248.0,199.0,0.32,2.47,-0.19,1.32,3,2,0,0,0,0,R,3.48,1.64,1
4-Seam Fastball,7.0,-2.49,53.54,6.06,94.7,2311.0,204.0,1.43,1.85,-0.25,1.17,2,2,0,0,0,0,R,3.48,1.64,0
Slider,6.9,-2.62,53.62,5.86,84.9,2389.0,77.0,1.27,1.98,0.29,-0.29,1,2,0,0,0,0,R,3.48,1.6,0
Knuckle Curve,6.8,-2.87,53.67,5.89,81.9,2451.0,31.0,0.73,0.28,0.47,-0.96,0,2,0,0,0,0,R,3.48,1.64,0
4-Seam Fastball,6.8,-2.78,53.67,6.05,92.3,2213.0,200.0,-0.32,1.8,-0.13,1.31,0,1,0,0,0,0,R,3.48,1.67,0
4-Seam Fastball,6.7,-2.8,53.78,6.14,92.7,2368.0,203.0,-0.3,3.05,-0.32,1.52,0,0,0,0,0,0,R,3.48,1.64,1
4-Seam Fastball,6.5,-2.75,53.96,6.06,95.7,2131.0,201.0,-0.68,3.15,-0.22,1.17,3,1,0,0,1,2,L,3.2,1.57,1
4-Seam Fastball,6.5,-2.78,54.02,6.08,95.2,2241.0,206.0,-0.78,4.34,-0.24,1.05,2,1,0,0,1,2,L,3.2,1.53,0
Changeup,6.7,-2.75,53.84,5.89,88.0,1645.0,234.0,-0.24,1.64,-0.92,0.37,2,0,0,0,1,2,L,3.2,1.57,1
4-Seam Fastball,6.6,-2.69,53.87,6.16,94.6,2263.0,197.0,-0.32,3.9,-0.31,1.12,1,0,0,0,1,2,L,3.2,1.53,0
4-Seam Fastball,6.6,-2.7,53.89,6.13,95.0,2262.0,198.0,-0.5,3.24,-0.03,1.08,0,0,0,0,1,2,L,3.2,1.53,0
4-Seam Fastball,6.7,-2.38,53.78,6.14,95.7,2320.0,191.0,0.23,2.65,-0.23,1.16,2,2,0,0,0,2,R,3.49,1.63,1
4-Seam Fastball,6.6,-2.76,53.86,6.13,94.4,2314.0,201.0,-1.27,1.99,-0.08,1.22,1,2,0,0,0,2,R,3.49,1.67,0
Knuckle Curve,6.8,-2.77,53.73,5.95,83.9,2423.0,41.0,0.25,0.19,0.37,-0.87,0,2,0,1,0,1,R,3.49,1.67,0
4-Seam Fastball,6.8,-2.46,53.69,6.19,95.0,2161.0,198.0,0.36,3.37,-0.06,1.19,0,1,0,1,0,1,R,3.7,1.67,0
4-Seam Fastball,6.8,-2.66,53.74,6.15,95.4,2318.0,195.0,-0.75,2.32,-0.23,1.54,0,0,0,1,0,1,R,3.49,1.63,1
4-Seam Fastball,6.8,-2.52,53.73,6.14,94.5,2210.0,197.0,0.25,3.1,0.12,1.17,0,0,0,0,0,1,L,3.39,1.54,1
Slider,6.9,-2.84,53.63,5.99,86.4,2502.0,82.0,-0.79,2.15,0.22,-0.05,1,1,0,0,0,1,R,3.42,1.65,1
Slider,6.9,-2.87,53.64,5.94,88.0,2372.0,94.0,1.12,0.8,0.49,-0.33,0,1,0,0,0,1,R,3.45,1.71,0
Slider,6.7,-2.7,53.76,5.97,87.1,2467.0,92.0,-0.19,2.04,0.43,-0.29,0,0,0,0,0,1,R,3.42,1.65,1
4-Seam Fastball,6.6,-2.69,53.93,6.15,93.7,2227.0,200.0,-0.32,3.63,-0.16,1.29,0,2,0,0,0,0,L,3.36,1.66,1
Cutter,6.6,-2.86,53.88,6.05,91.2,2281.0,191.0,0.68,2.28,0.3,0.79,0,1,0,0,0,0,L,3.36,1.66,1
Knuckle Curve,6.5,-2.91,54.01,6.09,81.8,2390.0,34.0,-0.78,2.19,0.37,-1.01,0,0,0,0,0,0,L,3.36,1.66,1
4-Seam Fastball,6.8,-2.45,53.74,6.17,94.4,2250.0,196.0,-0.58,3.2,-0.23,1.32,3,0,0,0,0,2,R,3.54,1.76,1
4-Seam Fastball,6.5,-2.8,53.97,6.0,93.9,2275.0,206.0,-0.66,3.3,-0.38,1.28,2,0,0,0,0,2,R,3.48,1.71,0
Knuckle Curve,6.5,-2.78,53.95,5.94,83.3,2490.0,42.0,-1.57,2.54,0.25,-0.9,1,0,0,0,0,2,R,3.54,1.76,0
4-Seam Fastball,6.6,-2.64,53.88,6.03,94.8,2346.0,203.0,-0.09,3.84,-0.49,1.29,0,0,0,0,0,2,R,3.38,1.8,0
4-Seam Fastball,6.6,-2.8,53.89,6.07,93.6,2182.0,203.0,0.04,3.17,-0.35,1.09,2,2,0,0,0,1,R,3.43,1.58,1
Slider,6.8,-2.7,53.71,5.94,88.2,2426.0,121.0,2.21,0.11,0.45,-0.09,1,2,0,0,0,1,R,3.43,1.51,0
4-Seam Fastball,6.5,-2.76,54.05,6.13,93.3,2326.0,198.0,-1.07,2.98,-0.04,1.35,1,1,0,0,0,1,R,3.43,1.58,1
4-Seam Fastball,6.7,-2.4,53.85,6.21,93.9,2296.0,197.0,1.13,2.95,-0.11,1.4,0,1,0,0,0,1,R,3.43,1.6,0
4-Seam Fastball,6.6,-2.73,53.93,6.13,92.5,2179.0,202.0,-1.13,2.31,-0.08,1.34,0,0,0,0,0,1,R,3.43,1.58,1
4-Seam Fastball,6.6,-2.81,53.92,6.02,93.2,2251.0,210.0,0.09,2.13,-0.17,1.41,0,1,0,0,0,0,L,3.4,1.69,1
Changeup,6.8,-2.91,53.72,6.03,83.8,1434.0,230.0,0.12,1.52,-0.63,0.34,0,0,0,0,0,0,L,3.49,1.62,0
Slider,6.9,-2.75,53.6,5.85,85.8,2464.0,65.0,0.54,1.5,0.28,-0.26,3,2,0,0,0,2,R,3.48,1.64,1
4-Seam Fastball,6.5,-2.67,54.01,6.18,93.5,2154.0,195.0,-1.15,4.83,-0.02,1.04,2,2,0,0,0,2,R,3.48,1.62,0
4-Seam Fastball,6.5,-2.54,53.96,6.15,94.4,2183.0,195.0,0.08,4.64,-0.03,1.08,1,2,0,0,0,2,R,3.54,1.67,0
4-Seam Fastball,6.7,-2.53,53.82,6.07,95.2,2474.0,204.0,-0.16,2.52,-0.22,1.47,1,2,0,0,0,2,R,3.48,1.64,1
Slider,6.8,-2.65,53.71,5.94,87.5,2436.0,70.0,1.73,1.35,0.33,-0.34,0,2,0,0,0,2,R,3.56,1.73,0
4-Seam Fastball,6.6,-2.71,53.91,6.13,93.2,2136.0,198.0,-0.25,3.28,-0.15,1.17,0,1,0,0,0,2,R,3.48,1.64,1
Slider,6.7,-2.73,53.76,5.99,87.0,2430.0,72.0,0.23,1.45,0.38,-0.35,0,0,0,0,0,2,R,3.48,1.64,1
4-Seam Fastball,6.4,-2.67,54.1,6.17,94.0,2169.0,200.0,-0.98,3.33,-0.01,1.25,3,2,0,0,0,1,L,3.2,1.57,1
4-Seam Fastball,6.6,-2.72,53.92,6.08,95.4,2220.0,205.0,0.0,1.24,-0.21,1.21,3,2,0,0,0,1,L,3.2,1.57,1
Changeup,6.7,-2.81,53.79,5.87,85.4,1405.0,229.0,0.01,1.36,-1.17,0.14,2,2,0,0,0,1,L,3.2,1.62,0
4-Seam Fastball,6.5,-2.6,54.01,6.21,94.2,2245.0,200.0,0.01,3.19,-0.11,1.08,2,2,0,0,0,1,L,3.2,1.57,1
Changeup,6.7,-2.8,53.76,5.92,87.9,1529.0,226.0,0.01,-0.25,-0.77,0.35,1,2,0,0,0,1,L,3.2,1.62,0
4-Seam Fastball,6.4,-2.66,54.09,6.18,93.2,2276.0,204.0,-0.31,3.98,-0.27,1.13,0,2,0,0,0,1,L,3.2,1.46,0
Knuckle Curve,6.7,-2.88,53.78,5.99,81.9,2358.0,32.0,-0.27,0.54,0.27,-0.81,0,1,0,0,0,1,L,3.2,1.57,1
4-Seam Fastball,6.5,-2.47,54.01,6.15,92.8,2179.0,200.0,0.5,2.27,-0.13,1.2,0,0,0,0,0,1,L,2.95,1.55,0
4-Seam Fastball,6.6,-2.64,53.93,6.18,91.8,2145.0,206.0,-0.01,2.66,-0.11,1.18,0,0,0,0,0,0,R,3.49,1.63,1
Knuckle Curve,6.6,-2.82,53.86,6.02,82.6,2345.0,42.0,-0.66,1.49,0.27,-0.88,0,2,0,0,0,2,L,3.39,1.54,1
4-Seam Fastball,6.6,-2.67,53.93,6.09,93.7,2099.0,197.0,-0.73,2.78,-0.08,1.08,0,1,0,0,0,2,L,3.39,1.54,1
4-Seam Fastball,6.5,-2.65,54.0,6.14,92.4,2203.0,199.0,-0.99,2.23,-0.05,1.26,0,0,0,0,0,2,L,3.32,1.75,0
Knuckle Curve,6.5,-2.59,53.98,6.07,82.2,2389.0,32.0,-0.49,2.29,0.26,-0.93,2,0,0,0,0,1,R,3.42,1.65,1
Cutter,6.5,-2.71,54.02,6.2,92.7,2228.0,198.0,-1.24,3.02,0.07,1.0,1,0,0,0,0,1,R,3.42,1.69,0
Cutter,6.4,-2.77,54.1,6.14,91.9,2252.0,189.0,-0.45,3.97,0.18,1.06,0,0,0,0,0,1,R,3.42,1.67,0
Knuckle Curve,6.8,-2.73,53.74,6.05,81.8,2430.0,26.0,1.11,0.07,0.47,-0.85,1,2,0,0,0,0,L,3.36,1.66,1
Knuckle Curve,6.7,-2.74,53.78,6.03,81.7,2504.0,27.0,0.42,-0.65,0.26,-1.0,0,2,0,0,0,0,L,3.36,1.67,0
Knuckle Curve,6.6,-2.74,53.93,6.07,81.7,2403.0,39.0,-0.55,2.0,0.19,-0.83,0,1,0,0,0,0,L,3.36,1.69,0
4-Seam Fastball,6.4,-2.7,54.1,6.15,92.0,2362.0,196.0,-0.95,2.41,0.03,1.28,0,0,0,0,0,0,L,3.36,1.66,0
Slider,6.6,-2.77,53.87,5.93,87.1,2459.0,81.0,-0.06,2.34,0.39,-0.18,3,2,0,0,0,2,R,3.54,1.76,1
4-Seam Fastball,6.6,-2.79,53.88,6.01,93.1,2275.0,199.0,-1.31,3.04,0.0,1.25,2,2,0,0,0,2,R,3.54,1.71,0
Knuckle Curve,6.7,-2.74,53.79,5.96,83.0,2426.0,29.0,0.12,0.82,0.41,-0.94,2,2,0,0,0,2,R,3.54,1.76,1
4-Seam Fastball,6.5,-2.72,53.98,6.14,93.9,2208.0,203.0,-0.9,2.74,0.01,1.18,2,2,0,0,0,2,R,3.54,1.76,1
4-Seam Fastball,6.6,-2.58,53.9,6.16,94.5,2241.0,202.0,0.15,3.02,-0.07,1.16,2,1,0,0,0,2,R,3.54,1.76,1
4-Seam Fastball,6.6,-2.57,53.89,6.2,92.8,2300.0,191.0,0.27,3.9,-0.04,1.17,1,1,0,0,0,2,R,3.65,1.87,0
4-Seam Fastball,6.4,-2.62,54.12,6.2,93.7,2274.0,198.0,-0.84,4.25,-0.13,1.22,0,1,0,0,0,2,R,3.54,1.76,0
Knuckle Curve,6.5,-2.51,53.96,6.09,82.8,2440.0,36.0,-0.03,1.83,0.17,-0.9,0,0,0,0,0,2,R,3.54,1.69,0
Changeup,6.8,-2.73,53.7,5.95,89.1,1464.0,225.0,-0.41,1.45,-0.79,0.33,2,2,0,0,0,1,R,3.43,1.58,1
Slider,6.7,-2.82,53.81,6.02,85.4,2432.0,62.0,-0.48,1.33,0.26,-0.41,2,2,0,0,0,1,R,3.43,1.58,1
Knuckle Curve,6.7,-2.65,53.81,6.0,81.7,2339.0,30.0,-0.47,0.46,0.4,-1.02,1,2,0,0,0,1,R,3.38,1.55,0
4-Seam Fastball,6.4,-2.8,54.07,6.08,93.6,2276.0,201.0,-0.97,2.17,-0.19,1.25,1,2,0,0,0,1,R,3.43,1.58,1
Slider,6.7,-2.63,53.76,6.06,85.5,2491.0,72.0,0.79,2.49,0.25,-0.18,1,2,0,0,0,1,R,3.43,1.58,1
4-Seam Fastball,6.6,-2.46,53.92,6.19,94.2,2250.0,202.0,0.44,3.07,-0.14,1.46,1,2,0,0,0,1,R,3.43,1.58,1
Knuckle Curve,6.6,-2.81,53.88,6.05,81.2,2477.0,31.0,-0.24,0.06,0.42,-1.11,0,2,0,0,0,1,R,3.43,1.53,0
4-Seam Fastball,6.4,-2.68,54.12,6.17,93.5,2226.0,199.0,-0.63,1.67,-0.02,1.26,0,1,0,0,0,1,R,3.43,1.55,0
4-Seam Fastball,6.5,-2.72,54.0,6.14,92.8,2169.0,199.0,-0.52,2.78,0.0,1.22,0,0,0,0,0,1,R,3.43,1.58,1
Knuckle Curve,6.7,-2.78,53.83,6.07,82.1,2411.0,32.0,0.37,0.19,0.2,-0.83,1,2,0,0,0,0,L,3.4,1.69,1
Knuckle Curve,6.4,-2.74,54.11,6.08,81.3,2311.0,39.0,-0.38,3.04,0.28,-0.58,1,1,0,0,0,0,L,3.52,1.6,0
Changeup,6.5,-2.77,54.03,6.14,85.7,1483.0,228.0,-0.19,2.17,-1.13,0.57,1,0,0,0,0,0,L,3.4,1.69,1
Cutter,6.3,-2.64,54.22,6.2,91.1,2404.0,182.0,1.08,2.84,0.17,0.78,0,0,0,0,0,0,L,3.42,1.69,0
4-Seam Fastball,6.5,-2.67,54.0,6.15,93.8,2388.0,201.0,-0.93,1.6,-0.59,1.03,0,1,0,0,0,2,R,3.48,1.64,1
4-Seam Fastball,6.5,-2.51,53.99,6.27,94.5,2383.0,199.0,-0.25,2.67,-0.53,1.1,0,0,0,0,0,2,R,3.42,1.67,0
4-Seam Fastball,6.5,-2.67,53.97,6.22,94.3,2347.0,202.0,-0.58,2.63,-0.65,1.13,0,0,0,0,0,1,L,3.2,1.57,1
4-Seam Fastball,6.4,-2.51,54.1,6.19,94.0,2285.0,196.0,0.02,2.92,-0.26,1.17,1,1,0,0,0,0,R,3.49,1.63,1
4-Seam Fastball,6.5,-2.58,53.95,6.22,93.8,2317.0,201.0,-0.02,1.11,-0.09,1.5,1,0,0,0,0,0,R,3.49,1.63,1
4-Seam Fastball,6.5,-2.55,54.0,6.28,93.5,2308.0,197.0,1.42,3.25,-0.03,1.35,0,0,0,0,0,0,R,3.49,1.62,0
4-Seam Fastball,6.8,-2.52,53.69,5.92,94.3,2403.0,208.0,0.42,2.45,-0.25,1.61,0,1,0,1,0,2,R,3.62,1.61,1
4-Seam Fastball,6.8,-2.52,53.7,5.87,94.5,2351.0,205.0,0.41,2.13,-0.21,1.56,0,0,0,1,0,2,R,3.6,1.61,0
4-Seam Fastball,6.7,-3.01,53.77,5.74,95.0,2318.0,217.0,-0.76,2.9,-0.43,1.34,3,2,0,1,0,1,L,3.18,1.49,0
Changeup,7.0,-2.97,53.45,5.49,88.1,1470.0,239.0,0.16,0.61,-1.11,0.01,2,2,0,1,0,1,L,3.22,1.49,0
4-Seam Fastball,6.8,-2.66,53.75,5.82,94.2,2343.0,211.0,0.81,1.84,-0.09,1.51,2,2,0,1,0,1,L,3.14,1.49,1
4-Seam Fastball,6.7,-2.96,53.81,5.78,94.1,2331.0,214.0,-0.18,1.77,-0.19,1.56,2,1,0,1,0,1,L,3.15,1.49,0
4-Seam Fastball,6.7,-2.84,53.77,5.67,94.4,2294.0,218.0,0.94,1.73,-0.26,1.34,1,1,0,1,0,1,L,3.2,1.49,0
Changeup,6.8,-2.9,53.67,5.56,87.7,1642.0,228.0,0.34,1.23,-1.05,0.28,1,0,0,1,0,1,L,3.14,1.49,1
4-Seam Fastball,6.8,-2.81,53.66,5.78,92.8,2294.0,209.0,1.03,2.49,-0.23,1.42,0,0,0,1,0,1,L,3.27,1.49,0
Cutter,6.8,-2.83,53.65,5.69,90.5,2323.0,185.0,0.98,1.71,0.28,0.71,0,0,0,1,0,0,R,3.59,1.64,1
Knuckle Curve,6.6,-2.7,53.92,5.83,82.4,2408.0,42.0,-0.38,3.21,0.24,-0.74,0,0,0,0,0,0,R,3.49,1.59,1
4-Seam Fastball,6.8,-2.88,53.74,5.61,92.1,2367.0,214.0,0.14,2.44,-0.38,1.42,1,2,0,0,0,2,L,3.32,1.55,1
Changeup,6.7,-2.97,53.8,5.52,87.1,1427.0,231.0,-1.11,0.5,-0.88,0.12,0,2,0,0,0,2,L,3.32,1.55,0
Changeup,6.8,-3.04,53.69,5.59,86.7,1447.0,231.0,-0.46,1.34,-0.79,0.18,0,1,0,0,0,2,L,3.32,1.55,1
Knuckle Curve,6.6,-3.15,53.87,5.69,83.1,2330.0,42.0,-0.82,2.23,0.24,-0.75,0,0,0,0,0,2,L,3.41,1.55,0
4-Seam Fastball,6.7,-2.66,53.77,5.7,92.8,2293.0,209.0,-0.18,2.74,-0.34,1.38,3,1,0,0,0,1,R,2.97,1.41,1
4-Seam Fastball,6.8,-2.69,53.67,5.69,92.7,2340.0,211.0,0.88,1.82,-0.38,1.45,2,1,0,0,0,1,R,3.06,1.41,0
Cutter,6.8,-2.78,53.67,5.62,88.7,2227.0,193.0,1.46,1.76,0.35,0.67,1,1,0,0,0,1,R,3.11,1.41,0
4-Seam Fastball,6.6,-2.88,53.92,5.7,93.3,2295.0,212.0,-1.81,2.45,-0.47,1.29,0,1,0,0,0,1,R,3.11,1.41,0
4-Seam Fastball,6.5,-2.58,53.97,5.79,94.1,2333.0,211.0,0.21,2.77,-0.49,1.33,0,0,0,0,0,1,R,3.18,1.48,0
4-Seam Fastball,6.9,-2.7,53.57,5.78,92.4,2349.0,207.0,-0.06,4.26,-0.32,1.39,0,2,0,0,0,0,L,3.23,1.44,1
4-Seam Fastball,6.6,-2.87,53.85,5.72,93.5,2442.0,215.0,-0.31,2.24,-0.58,1.53,0,1,0,0,0,0,L,3.23,1.44,1
Knuckle Curve,6.7,-2.81,53.85,5.72,83.3,2496.0,43.0,-0.2,2.13,0.3,-0.61,0,0,0,0,0,0,L,3.32,1.46,0
Changeup,6.7,-2.95,53.75,5.64,86.2,1513.0,230.0,-0.75,2.1,-1.09,0.53,1,2,0,0,0,0,R,3.31,1.51,1
Knuckle Curve,6.9,-2.87,53.57,5.76,82.0,2363.0,47.0,-0.17,1.38,0.35,-0.52,0,2,0,0,0,0,R,3.27,1.51,0
Knuckle Curve,7.0,-2.8,53.5,5.74,81.9,2331.0,41.0,0.32,2.57,0.27,-0.37,0,1,0,0,0,0,R,3.31,1.51,1
4-Seam Fastball,6.7,-2.69,53.81,5.79,92.0,2346.0,216.0,0.28,2.11,-0.68,1.37,0,0,0,0,0,0,R,3.34,1.51,0
Cutter,6.6,-2.81,53.92,5.76,89.6,2290.0,181.0,0.82,2.89,0.36,0.69,0,1,0,0,1,1,R,3.54,1.63,1
Cutter,6.9,-2.79,53.6,5.68,90.8,2297.0,192.0,0.47,2.65,0.13,0.64,0,0,0,0,1,1,R,3.54,1.63,1
4-Seam Fastball,6.6,-2.71,53.88,5.8,94.3,2308.0,212.0,-0.34,3.22,-0.65,1.32,1,2,0,0,1,0,R,3.62,1.61,1
4-Seam Fastball,6.6,-2.88,53.88,5.77,93.2,2280.0,207.0,-1.16,3.65,-0.46,1.49,1,2,0,0,1,0,R,3.62,1.61,1
Cutter,6.7,-2.86,53.79,5.7,89.7,2272.0,188.0,-0.07,1.75,0.38,0.75,1,1,0,0,1,0,R,3.62,1.61,0
Cutter,6.6,-2.75,53.89,5.73,90.2,2268.0,188.0,1.07,2.7,0.28,0.9,0,1,0,0,1,0,R,3.62,1.58,0
4-Seam Fastball,6.6,-2.79,53.91,5.84,93.3,2400.0,208.0,0.24,3.51,-0.53,1.59,0,0,0,0,1,0,R,3.64,1.61,0
4-Seam Fastball,6.6,-2.72,53.87,5.77,93.2,2412.0,208.0,0.35,2.96,-0.61,1.45,1,2,0,0,0,0,L,3.14,1.49,1
Changeup,6.7,-3.07,53.81,5.7,85.1,1460.0,232.0,0.43,1.31,-1.08,0.4,1,1,0,0,0,0,L,3.14,1.49,1
Changeup,6.8,-2.95,53.69,5.64,86.2,1652.0,236.0,0.09,1.67,-1.25,0.58,1,0,0,0,0,0,L,3.2,1.49,0
4-Seam Fastball,6.6,-2.84,53.87,5.71,92.6,2366.0,219.0,1.48,1.71,-0.66,1.37,0,0,0,0,0,0,L,3.2,1.49,0
Cutter,6.8,-2.97,53.67,5.52,91.3,2495.0,178.0,0.42,1.29,0.38,0.81,1,0,0,1,1,1,R,3.59,1.64,1
4-Seam Fastball,6.5,-2.9,53.98,5.69,94.4,2308.0,205.0,-1.44,3.58,-0.24,1.44,0,0,0,1,1,1,R,3.67,1.64,0
Knuckle Curve,6.8,-2.87,53.69,5.72,84.3,2418.0,33.0,0.06,1.77,0.29,-0.61,2,2,1,1,1,1,R,3.49,1.59,1
Cutter,6.7,-2.88,53.76,5.58,90.6,2407.0,171.0,1.16,2.21,0.29,0.74,2,2,1,1,1,1,R,3.49,1.59,1
Cutter,6.8,-3.0,53.73,5.55,91.3,2431.0,184.0,0.73,1.82,0.17,0.8,2,1,1,1,1,1,R,3.46,1.51,0
Changeup,6.6,-2.95,53.93,5.47,89.6,1631.0,236.0,-0.68,0.22,-1.29,-0.02,1,1,1,1,1,1,R,3.5,1.59,0
