pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
Slider,6.9,-2.71,53.59,5.82,89.3,2436.0,152.0,0.93,2.44,0.49,0.45,1,1,0,1,1,2,R,3.32,1.64,1
4-Seam Fastball,6.7,-2.56,53.8,5.96,94.1,2257.0,202.0,0.66,2.22,-0.17,1.47,1,0,0,1,1,2,R,3.32,1.67,0
Slider,6.8,-2.79,53.66,5.75,91.1,2376.0,175.0,1.08,0.82,0.43,0.3,0,0,0,1,1,2,R,3.27,1.64,0
Knuckle Curve,6.8,-2.77,53.72,5.84,83.9,2293.0,28.0,0.9,0.09,0.15,-0.63,3,1,0,0,1,2,L,3.47,1.64,0
4-Seam Fastball,6.6,-2.48,53.88,5.98,94.8,2247.0,205.0,0.91,1.79,-0.43,1.31,2,1,0,0,1,2,L,3.43,1.69,0
Knuckle Curve,6.5,-2.69,53.97,5.92,82.2,2304.0,34.0,0.87,2.13,0.26,-0.41,1,1,0,0,1,2,L,3.38,1.67,0
Changeup,6.7,-2.96,53.78,5.68,88.5,1546.0,227.0,-0.52,0.79,-1.26,0.29,0,1,0,0,1,2,L,3.42,1.69,0
4-Seam Fastball,6.4,-2.52,54.06,6.0,94.0,2296.0,204.0,0.83,2.71,-0.3,1.42,0,0,0,0,1,2,L,3.47,1.74,0
4-Seam Fastball,6.7,-2.73,53.78,5.82,94.9,2296.0,201.0,-1.47,2.6,-0.3,1.37,3,2,0,0,0,2,L,3.67,1.64,0
Knuckle Curve,6.7,-2.65,53.8,5.81,83.1,2314.0,38.0,0.75,0.08,0.21,-0.66,2,2,0,0,0,2,L,3.67,1.71,0
Knuckle Curve,6.6,-2.76,53.86,5.8,81.8,2291.0,29.0,0.04,0.42,-0.12,-0.73,1,2,0,0,0,2,L,3.63,1.67,0
Knuckle Curve,6.5,-2.72,53.96,5.84,81.3,2308.0,40.0,0.61,0.85,0.02,-0.78,1,2,0,0,0,2,L,3.58,1.71,1
Cutter,6.5,-2.69,54.04,5.89,91.1,2201.0,207.0,1.23,2.15,0.28,0.74,1,1,0,0,0,2,L,3.58,1.71,1
Knuckle Curve,6.6,-2.72,53.88,5.86,80.8,2297.0,43.0,0.53,3.31,0.19,-0.85,1,0,0,0,0,2,L,3.85,1.77,0
Cutter,6.7,-2.65,53.81,5.91,91.4,2295.0,197.0,2.02,2.36,0.22,0.89,0,0,0,0,0,2,L,3.67,1.71,0
4-Seam Fastball,6.5,-2.81,54.02,6.0,92.9,2170.0,204.0,-0.85,2.73,-0.17,1.28,0,0,0,0,1,0,L,3.57,1.73,1
Cutter,6.7,-2.78,53.84,5.88,91.5,2289.0,200.0,0.28,3.04,0.1,1.08,1,2,0,0,0,0,L,3.13,1.57,1
Knuckle Curve,6.5,-2.71,54.05,5.86,81.3,2288.0,38.0,0.64,0.28,0.15,-0.63,0,2,0,0,0,0,L,3.13,1.54,0
Cutter,6.6,-2.83,53.87,5.9,89.9,2184.0,200.0,0.56,3.18,0.13,0.73,0,1,0,0,0,0,L,3.13,1.57,1
4-Seam Fastball,6.5,-2.65,54.0,6.0,91.8,2155.0,202.0,-0.69,2.42,-0.04,1.08,0,0,0,0,0,0,L,3.33,1.66,0
4-Seam Fastball,6.6,-2.5,53.88,5.96,95.0,2268.0,198.0,0.96,3.8,0.01,1.3,2,2,0,0,0,2,R,3.38,1.57,1
Knuckle Curve,6.6,-2.71,53.94,5.77,82.2,2461.0,28.0,0.53,1.04,0.2,-0.82,2,2,0,0,0,2,R,3.38,1.57,1
Cutter,6.7,-2.63,53.77,5.81,91.0,2185.0,192.0,0.85,1.77,0.07,0.81,2,1,0,0,0,2,R,3.4,1.53,0
4-Seam Fastball,6.8,-2.53,53.74,5.95,94.2,2367.0,200.0,0.78,1.1,-0.27,1.54,1,1,0,0,0,2,R,3.47,1.56,0
Cutter,6.6,-2.72,53.87,5.7,92.8,2302.0,207.0,1.54,1.13,0.05,0.98,0,1,0,0,0,2,R,3.47,1.61,0
4-Seam Fastball,6.7,-2.54,53.76,5.94,95.2,2285.0,207.0,0.72,1.71,-0.32,1.54,0,0,0,0,0,2,R,3.45,1.57,0
Cutter,6.5,-2.79,54.04,5.87,92.6,2253.0,207.0,-0.03,3.45,0.06,1.15,3,1,0,0,0,1,L,3.68,1.82,1
4-Seam Fastball,6.8,-2.85,53.75,5.73,94.8,2208.0,211.0,-0.97,1.55,-0.24,1.33,2,1,0,0,0,1,L,3.63,1.82,0
